,SMILES,predicted_affinity_score
157,CCC(CC)NC(=O)C1=C(C=CC(=C1)S(=O)(=O)C)C,8.580850601196289
158,CCC(CC)N(C)C(=O)C1CNCC2=CC=CC=C12,8.580821990966797
159,CCC(CC)(CC)NC(=O)C1=CN=C2C=C(C=CN2C1=O)C,8.580811500549316
160,CCC(C)N(CC)C(=O)C1=C(C2=C(S1)C=CC=N2)N,8.58072280883789
161,CCC(CC)NS(=O)(=O)C1=NC=C(C=C1)Br,8.580717086791992
162,CCC(CC)NC(=O)C1=C(N=C2C=C(C=CC2=C1)OC)C,8.580676078796387
163,CCC(CC)NC(=O)C1=C(C2=C(S1)N(N=C2C)C)N,8.580623626708984
164,CCC(CC)NS(=O)(=O)C1=CC=CC2=CC=CC=C21,8.580392837524414
165,CCC(CC)NC(=O)CN1C=C(C=CC1=O)Br,8.580363273620605
166,CCC(C)N(CC)C(=O)C1=C(C2=C(S1)C=NC=C2)N,8.57990550994873
167,CCC(C)N(CC)C(=O)C1=C(C2=C(S1)C=CC=C2Cl)N,8.57975959777832
168,CCC(CC)N(C)C(=O)C1CNC2=CC=CC=C2O1,8.57955265045166
169,CCC(CC)NS(=O)(=O)C1=C(C=CC(=C1)C#N)Cl,8.579407691955566
170,CCC(C)N(CC)C(=O)C1=C(C2=C(S1)N=C(C=C2)C)N,8.579087257385254
171,CCC(CC)N(C)C(=O)C1=CC2=C(CCNC2)C=C1,8.579066276550293
172,CCC(CC)NC(=O)C1=C2CCCC2=NC3=CC=CC=C31,8.579007148742676
173,CCC(C)N(CC)C(=O)C1=C(C2=CC=CC=C2S1)N,8.57877254486084
174,CCN(CC)C(=O)CNC(=O)C1=C(C=CC=C1Cl)F,8.5787353515625
175,CCC(C)N(CC(=O)O)C(=O)N(C)C1=CC=C(C=C1)F,8.578658103942871
176,CCC(CC)N(C)S(=O)(=O)C1=CC=CC2=C1CCNC2,8.578594207763672
177,CCN(CC)C(=O)N(CC(=O)O)C1=CC(=CC=C1)Cl,8.57858943939209
178,CCC(C)N(CC)C(=O)C1=CC(=NC2=CC=CC=C21)NC,8.578536033630371
179,CCN(CC)CCN1CC(=O)NC2=C1C=CC(=C2)Cl.Cl,8.57849407196045
180,CCN(CC)C(=O)C(C)NC1=NN=C(C(=C1C)C)Cl,8.578435897827148
181,CCC(CC)NC(=O)CN1C2=CC=CC3=C2C(=CC=C3)C1=O,8.578312873840332
182,CCN(CC)C(C)C(=O)NC1=CC=CC(=C1)C(F)(F)F,8.578083992004395
183,CCC(CC)(C#N)NC(=O)C1CC2=CC=CC=C2O1,8.577892303466797
184,CCC(CC)NC(=O)CN1C(=O)C2=CC=CC=C2C=N1,8.577176094055176
185,CCC(CC)NC(=O)C1=C2N=C(C=C(N2N=C1)C)C,8.57672119140625
186,CCC(C)N(CC)C(=O)C1=C(C2=C(S1)C=CC(=C2)F)N,8.576703071594238
187,CCC(CC)(C#N)NC(=O)C1=CC=CC=C1Br,8.576494216918945
188,CCN(CC)CC(=O)NC1=CC(=CC=C1)Br.Cl,8.57646656036377
189,CCC(CC)NC(=O)C1=C2C=NN(C2=NC(=C1)C)C(C)C,8.576464653015137
190,CCC(CC)N(C)C(=O)C1CCC2=CC=CC=C2N1,8.576089859008789
191,CCC(CC)NS(=O)(=O)C1=C(C=C(C=C1)F)Cl,8.575967788696289
192,CCC(CC)NC(=O)C1=NC2=CSC(=C2C(=N1)N(C)C)C,8.575956344604492
193,CCC(C)(CC)NC(=O)C1=C(C2=C(N=C(N=C2S1)C)C)C,8.575868606567383
194,CCN(CC)C(=O)CNC(=O)C1=CC=CC=C1Br,8.575640678405762
195,CCC(CC)(C#N)NC(=O)C1CSC2=CC=CC=C12,8.575616836547852
196,CCC(CC)NC(=O)C(C)N1C=NC2=C1C=C(C(=C2)C)C,8.575447082519531
197,CCC(CC)N(C)S(=O)(=O)C1=CC2=C(C=C1)N=C(C=C2)N,8.575417518615723
198,CCC(CC)NC(=O)C1=C(OC=C1)Br,8.575074195861816
199,CCC(C)N(CC)C(=O)C1=NC2=CC=CC=C2C(=C1)N,8.575014114379883
200,CCC(CC)NC(=O)C1CCCN1C(=O)C2=CC=CS2,8.575000762939453
201,CCC(C)N(CC)C(=O)C1=C(C2=C(S1)N=CC=C2)N,8.574978828430176
202,CCC(CC)C(C)NC(=O)C1=C(C=CC=N1)Br,8.574689865112305
203,CCC(CC)N(C)C(=O)C1CC(NC2=CC=CC=C12)C,8.57441234588623
204,CCC(CC)N(CC(F)(F)F)C(=O)C1=CNC(=O)C=C1,8.57435131072998
205,CCC(CC)NC(=O)C1CC(=O)N(C1)C2=C(C=CC(=C2)C)C,8.574323654174805
206,CCC(CC)(C#N)NC(=O)C1=CC=CC=C1C(C)(C)C,8.574309349060059
207,CCC(CC)(C#N)NC(=O)C1=CC(=CC(=C1)C)Cl,8.574305534362793
208,CCN(CC)C(=O)CNC(=O)C1=C(C=C(C=C1)C)Br,8.574256896972656
209,CCC(CC)NS(=O)(=O)C1=CC2=C(C=C1)OCCCO2,8.574191093444824
210,CCN(C)CCNC(=O)C1=CC=C(S1)Br,8.574167251586914
211,CCN(CC)CC(=O)NC1=NC=CC(=C1)C.Cl.Cl,8.574084281921387
212,CCC(CC)N(C)C(=O)N1CC2=C(C1)C=C(C=C2)C(=O)O,8.574053764343262
213,CCC(CC)(CC)NC(=O)C1=NC=C(C=C1)Br,8.574051856994629
214,CCN(CC)CC(=O)NC1=C(C=CC(=C1)C)Cl.Cl,8.573957443237305
215,CCC(C)N(CC)C(=O)C1=CC(=C(S1)C)S(=O)(=O)N,8.573634147644043
216,CCC(C)N(CC)C(=O)C1=C(C2=CC=CC(=C2S1)C)N,8.573583602905273
217,CCC(CC)NS(=O)(=O)C1=C(C=C(C=C1)C#N)Cl,8.573580741882324
218,CCC(CC)(C#N)NC(=O)C1=CC=C(C=C1)Br,8.573482513427734
219,CCC(C)N(CC)C(=O)C1CCNC2=CC=CC=C12,8.573338508605957
220,CCC(C)N(CC(=O)O)C(=O)N(C)C1=CC=C(C=C1)C,8.57332706451416
221,CCC(CC)NC(=O)C1CC2=C(O1)C=CC(=C2)Cl,8.573162078857422
222,CCC(CC)NC(=O)C1=C(C2=C(S1)N=C(C=C2)C)N,8.572978019714355
223,CCC(CC)NC(=O)C1=NC=C(C=C1)Br,8.572937965393066
224,CCC(CC)N(CC(F)(F)F)C(=O)C1=CC(=O)NC=C1,8.572907447814941
225,CCC(C)N(CC)C(=O)C1=NC2=CC=CC=C2C(=C1)NC,8.57290267944336
226,CCC(C)N(CC)C(=O)C1=C(C2=C(S1)N=NC=C2)N,8.572892189025879
227,CCC(CC)C(C)NC(=O)C1=NC=C(C=C1)Br,8.572883605957031
228,CCC(CC)N(C)C(=O)C1=CN=C(C2=CC=CC=C21)NC,8.572832107543945
229,CCC(CC)N(C)C(=O)C1=CC(=C(C=C1C(=O)O)F)F,8.572761535644531
230,CCC(CC)(C#N)NC(=O)CC1=CC=C(C=C1)Br,8.572612762451172
231,CCC(CC)NC(=O)C1=C(C=CC=N1)Br,8.572604179382324
232,CCC(CC)NC(=O)C1=C(C=CC(=C1)F)Br,8.572339057922363
233,CCC(CC)(C#N)NC(=O)C1=C(C=C(C=C1)C)Cl,8.572199821472168
234,CCN(CC)C(C)C(=O)NC1=NSC2=C1C=C(C=C2)C,8.572171211242676
235,CCC(CC)NC(=O)C1=COC(=C1)Br,8.571797370910645
236,CCN(CC)C(=O)CNC(=O)C1=C(C2=CC=CC=C2S1)Cl,8.571788787841797
237,CCC(CC)NC(=O)C1=C(C2=C(S1)N=CN(C2=O)C)C,8.571758270263672
238,CCC(CC)N(C)C(=O)C1=CC2=C(C=C1)NCCC2,8.571758270263672
239,CCN(CC)C(=O)C(C)N1CCNC2=CC=CC=C21.Cl,8.571757316589355
240,CCC(CC)(C#N)NC(=O)C1=CC2=C(S1)C=CS2,8.571746826171875
241,CCC(CC)NC(=O)C1CC(=O)N(C1)C2=C(C=C(C=C2)C)F,8.571701049804688
242,CCN(CC)C(=O)NC(C)C1=CC=C(C=C1)S(=O)(=O)C,8.571515083312988
243,CCN(CC)C(=O)C(C)NC1=C(C=CC=C1Br)F,8.571385383605957
244,CCN(CC)CC(=O)NC1=C(C=CC2=CC=CC=C21)C.Cl,8.57129955291748
245,CCN(CC)C(=O)NS(=O)(=O)C=C(C)C1=CC=CC(=C1)C,8.571257591247559
246,CCC(CC)NC(=O)C1=C(C=C(C=C1)F)Br,8.571196556091309
247,CCC(CC)(C#N)NC(=O)C1=CC(=CC=C1)Br,8.571087837219238
248,CCN(CC)C(=O)NS(=O)(=O)C=C(C)C1=CC=CC(=C1)C,8.571004867553711
249,CCC(CC)N(C)C(=O)C1CC2=CC=CC=C2NC1C,8.570935249328613
250,CCN(CC)S(=O)(=O)NC1=CC=CC=C1Br,8.570597648620605
251,CCC(CC)NC(=O)C1CC(=O)N(C1)C2=C(C=C(C=C2)C)C,8.5704927444458
252,CCC(CC)N(C)S(=O)(=O)C1=C2CCCNC2=C(C=C1)C,8.570478439331055
253,CCC(CC)(C#N)NC(=O)C1=CC2=CC=CC=C2S1,8.570390701293945
254,CCN(C)CCNC(=O)C1=CSC(=C1)Br,8.570385932922363
255,CCC(C)N(CC)C(=O)C1=C(C=C(C(=C1)S(=O)(=O)N)C)F,8.5703763961792
256,CCC(C)N(CC(=O)O)C(=O)N(C)C1=CC(=CC(=C1)C)C,8.570262908935547
257,CCN(CC)C(=O)C(C)N=C1C2=CC=CC=C2S(=O)(=O)N1,8.570240020751953
258,CCN(CC)C(=O)CN(C)C(=O)C1=C(C=CC(=C1)O)Cl,8.57021713256836
